Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
GJ 536 b,,,,0.19,0.01686,579.0,487.0,3.045,8.7076,,5.7,10.41,3685.0,4.75,False,nexsci
GJ 625 b,,,,0.13,0.00887,399.0,336.0,3.094,14.628,,5.8,6.47,3499.0,4.94,False,nexsci
GJ 649 b,,,,1.11,0.328,141.0,118.0,2.819,598.3,,5.6,10.38,3700.0,4.76,False,nexsci
GJ 667 C b,,,,0.2,0.018,,,3.052,7.2004,,6.0,7.24,3350.0,4.69,False,nexsci
GJ 667 C c,,,,0.16,0.012,,,3.076,28.14,,6.0,7.24,3350.0,4.69,False,nexsci
GJ 667 C e,,,,0.13,0.008,,,3.076,62.24,,6.0,7.24,3350.0,4.69,False,nexsci
GJ 676 A b,,,,1.13,6.7,132.0,111.0,4.114,1056.8001,,5.8,16.03,3734.0,4.62,False,nexsci
GJ 676 A c,,,,1.13,6.8,72.0,61.0,4.121,7337.0,,5.8,16.03,4006.0,4.61,False,nexsci
GJ 676 A d,,,,0.17,0.014,911.0,766.0,3.064,3.6005,,5.8,16.03,4006.0,4.61,False,nexsci
GJ 676 A e,,,,0.25,0.025,428.0,360.0,3.007,35.39,,5.8,16.03,4006.0,4.61,False,nexsci
GQ Lup b,,,,3.0,20.0,35.0,29.0,3.741,,,7.1,151.17,4360.0,3.65,False,nexsci
GJ 687 b,,,,0.39,0.05412,314.0,264.0,2.957,38.142,,4.5,4.55,3413.0,4.86,False,nexsci
GJ 832 b,,,,1.25,0.68,70.0,59.0,3.033,3657.0,,4.5,4.96,3472.0,4.7,False,nexsci
GJ 832 c,,,,0.2,0.017,327.0,275.0,3.045,35.68,,4.5,4.96,3472.0,4.7,False,nexsci
GJ 143 b,0.0,0.003,0.063,0.23,0.07142,505.0,425.0,3.513,35.6125,3.23,5.4,16.32,4640.0,4.61,True,nexsci
GJ 849 b,,,,1.24,0.9,90.0,76.0,3.162,1915.0,,5.6,8.8,3563.0,4.77,False,nexsci
GJ 86 b,,,,1.15,4.42,786.0,661.0,3.918,15.7649,,4.1,10.78,5182.0,4.63,False,nexsci
GJ 876 b,,,,1.19,2.2756,227.0,191.0,3.6,61.1166,,5.0,4.68,3294.0,4.87,False,nexsci
GJ 876 c,,,,1.25,0.7142,287.0,242.0,3.054,30.0881,,5.0,4.68,3294.0,4.87,False,nexsci
GJ 876 d,,,,0.22,0.021,717.0,603.0,3.016,1.9378,,5.0,4.68,3294.0,4.87,False,nexsci
GJ 876 e,,,,0.35,0.046,178.0,149.0,2.969,124.26,,5.0,4.68,3271.0,4.87,False,nexsci
EPIC 201841433 b,0.0,0.0,0.008,0.09,0.00352,1229.0,1034.0,3.004,4.1698,2.4,12.5,436.49,5053.0,4.59,True,nexsci
GJ 9827 b,0.01,0.017,0.064,0.14,0.01545,1406.0,1182.0,3.285,1.209,1.2598,7.2,29.66,4340.0,4.66,True,nexsci
GJ 9827 c,0.0,0.005,0.153,0.11,0.00264,973.0,818.0,2.725,3.6481,1.8264,7.2,29.66,4340.0,4.66,True,nexsci
GJ 9827 d,0.0,0.005,0.093,0.18,0.01271,815.0,686.0,2.988,6.2015,1.2264,7.2,29.66,4340.0,4.66,True,nexsci
GSC 06214-00210 b,,,,1.8,16.0,13.0,11.0,4.088,,,9.2,108.5,4200.0,4.37,False,nexsci
GU Psc b,,,,1.26,11.3,3.0,3.0,4.243,,,9.3,47.55,4032.0,4.78,False,nexsci
HAT-P-11 b,0.004,0.049,0.202,0.39,0.084,986.0,829.0,3.139,4.8878,2.3639,7.0,37.76,4780.0,4.66,True,nexsci
HAT-P-11 c,,,,1.19,2.3,111.0,94.0,3.605,3407.0,,7.0,37.76,4780.0,4.66,False,nexsci
HAT-P-12 b,0.021,0.106,0.314,0.96,0.211,1138.0,957.0,2.755,3.2131,2.3376,10.1,142.75,4650.0,4.61,True,nexsci
HAT-P-13 b,0.318,0.171,0.103,1.27,0.851,2054.0,1727.0,3.115,2.9162,3.228,9.0,246.81,5653.0,4.13,True,nexsci
HAT-P-13 c,,,,1.1,14.28,383.0,322.0,4.466,446.27,,9.0,246.81,5653.0,4.13,False,nexsci
HAT-P-14 b,0.258,0.148,0.029,1.42,3.44,2091.0,1759.0,3.626,4.6277,2.1888,8.9,222.66,6600.0,4.25,True,nexsci
HAT-P-15 b,0.008,0.069,0.035,1.06,1.94,1063.0,894.0,3.631,10.8635,5.484,9.6,192.52,5568.0,4.38,True,nexsci
HAT-P-16 b,0.309,0.212,0.031,1.29,4.193,1935.0,1627.0,3.796,2.776,3.0624,9.6,226.64,6158.0,4.34,True,nexsci
HAT-P-17 b,0.006,0.11,0.218,1.05,0.58,945.0,794.0,3.115,10.3385,4.056,8.5,92.38,5246.0,4.53,True,nexsci
HAT-P-17 c,,,,1.17,3.4,119.0,100.0,3.789,5584.0,,8.5,92.38,5337.0,4.55,False,nexsci
HAT-P-18 b,0.006,0.069,0.295,0.99,0.197,1009.0,848.0,2.693,5.508,2.7144,10.2,161.4,4803.0,4.57,True,nexsci
HAT-P-19 b,0.025,0.102,0.258,1.13,0.292,1200.0,1009.0,2.752,4.0088,2.8368,10.5,202.08,4990.0,4.54,True,nexsci
HAT-P-1 b,0.163,0.225,0.319,1.32,0.525,1573.0,1323.0,2.874,4.4653,2.85,8.9,158.98,5980.0,4.36,True,nexsci
HAT-P-20 b,0.035,0.169,0.013,0.87,7.246,1152.0,969.0,4.378,2.8753,1.896,8.6,71.04,4595.0,4.63,True,nexsci
HAT-P-21 b,0.083,0.105,0.012,1.11,4.87,1586.0,1334.0,3.991,4.1245,3.672,10.1,277.28,5588.0,4.33,True,nexsci
HAT-P-22 b,0.285,0.356,0.08,1.15,2.47,1574.0,1324.0,3.666,3.2122,2.8704,7.8,81.76,5302.0,4.36,True,nexsci
HAT-P-23 b,0.318,0.151,0.05,1.09,1.34,2178.0,1832.0,3.446,1.2129,1.9728,10.8,364.81,5905.0,4.33,True,nexsci
HAT-P-24 b,0.19,0.122,0.102,1.3,0.75,1991.0,1674.0,3.041,3.3552,3.694,10.5,415.34,6373.0,4.27,True,nexsci
HAT-P-25 b,0.045,0.093,0.109,1.14,0.569,1406.0,1182.0,3.039,3.6528,2.813,10.8,300.38,5519.0,4.52,True,nexsci
HAT-P-26 b,0.012,0.043,0.247,0.63,0.07,1241.0,1044.0,2.641,4.2345,2.4552,9.6,141.84,5079.0,4.56,True,nexsci
HAT-P-42 b,0.081,0.081,0.049,1.28,1.044,1699.0,1429.0,3.198,4.6419,4.0344,10.6,405.24,5743.0,4.14,True,nexsci
HAT-P-43 b,0.058,0.07,0.067,1.22,0.662,1610.0,1354.0,3.045,3.3326,3.2496,11.8,528.83,5693.0,4.38,True,nexsci
HAT-P-27 b,0.05,0.098,0.09,1.02,0.62,1414.0,1189.0,3.169,3.0396,1.68,10.1,199.17,5316.0,4.53,True,nexsci
HAT-P-28 b,0.084,0.095,0.092,1.21,0.626,1640.0,1379.0,3.024,3.2572,3.2184,11.1,401.32,5680.0,4.36,True,nexsci
HAT-P-29 b,0.053,0.081,0.063,1.17,0.88,1541.0,1296.0,3.202,5.7232,3.8928,10.3,313.58,6087.0,4.34,True,nexsci
HAT-P-2 b,0.155,0.186,0.012,0.95,8.7,1652.0,1390.0,4.377,5.6335,4.2888,7.6,127.77,6380.0,4.16,True,nexsci
HAT-P-30 b,0.409,0.251,0.203,1.44,0.83,2021.0,1700.0,2.997,2.8106,2.1288,9.2,213.99,6304.0,4.36,True,nexsci
HAT-P-31 b,0.081,0.092,0.024,1.09,2.27,1660.0,1396.0,3.675,5.0054,5.139,10.1,344.05,6065.0,4.26,True,nexsci
HAT-P-32 b,0.918,0.437,0.523,1.98,0.68,2185.0,1838.0,2.633,2.15,3.108,10.0,289.2,6001.0,4.22,True,nexsci
HAT-P-33 b,0.51,0.247,0.221,1.85,0.92,2213.0,1861.0,2.824,3.4745,4.4136,10.0,396.11,6446.0,4.15,True,nexsci
HAT-P-34 b,0.113,0.11,0.022,1.2,3.33,1756.0,1476.0,3.76,5.4527,3.1752,9.2,249.32,6442.0,4.21,True,nexsci
HAT-P-35 b,0.124,0.092,0.056,1.33,1.056,1880.0,1581.0,3.169,3.6467,3.936,11.0,506.96,6096.0,4.21,True,nexsci
HAT-P-36 b,0.418,0.206,0.055,1.28,1.8482,2117.0,1780.0,3.449,1.3273,2.2152,10.6,294.42,5620.0,4.42,True,nexsci
HAT-P-37 b,0.055,0.081,0.043,1.18,1.169,1520.0,1278.0,3.32,2.7974,2.3304,11.7,390.59,5500.0,4.51,True,nexsci
HAT-P-38 b,0.016,0.05,0.098,0.82,0.267,1282.0,1078.0,2.988,4.6404,3.0408,10.5,255.21,5330.0,4.37,True,nexsci
HAT-P-39 b,0.196,0.112,0.137,1.57,0.599,2080.0,1749.0,2.779,3.5439,4.188,11.2,697.0,6430.0,4.07,True,nexsci
HAT-P-3 b,0.065,0.126,0.099,0.94,0.65,1410.0,1186.0,3.261,2.8997,2.087,9.4,134.55,5185.0,4.56,True,nexsci
HAT-P-40 b,0.225,0.145,0.21,1.52,0.48,1969.0,1656.0,2.712,4.4572,6.1368,10.0,464.47,6080.0,3.93,True,nexsci
HAT-P-41 b,0.89,0.307,0.211,2.05,1.19,2543.0,2138.0,2.846,2.694,3.6552,9.7,348.19,6390.0,4.14,True,nexsci
HAT-P-44 b,0.029,0.08,0.173,1.24,0.352,1314.0,1105.0,2.753,4.3012,3.1248,11.3,347.85,5295.0,4.46,True,nexsci
HAT-P-44 c,0.0,0.0,0.004,1.16,4.0,224.0,188.0,3.867,872.2,12.072,11.3,347.85,5295.0,4.46,False,nexsci
HAT-P-45 b,0.266,0.179,0.138,1.43,0.892,1962.0,1650.0,3.036,3.129,3.4464,10.2,298.64,6330.0,4.3,True,nexsci
HAT-P-46 b,0.114,0.113,0.153,1.28,0.493,1729.0,1454.0,2.87,4.4631,3.0984,9.9,290.74,6120.0,4.25,True,nexsci
HAT-P-49 b,0.725,0.233,0.07,1.59,2.2,2683.0,2256.0,3.334,2.6915,4.1088,9.3,350.35,6820.0,4.1,True,nexsci
HAT-P-4 b,0.262,0.15,0.121,1.27,0.671,2030.0,1707.0,3.011,3.0565,4.224,9.8,320.45,5860.0,4.14,True,nexsci
HAT-P-50 b,0.207,0.099,0.041,1.29,1.35,2206.0,1855.0,3.305,3.122,3.6744,10.5,515.46,6280.0,4.07,True,nexsci
HAT-P-51 b,0.037,0.074,0.177,1.29,0.309,1415.0,1190.0,2.661,4.218,3.3672,11.6,440.09,5449.0,4.39,True,nexsci
HAT-P-52 b,0.034,0.059,0.037,1.01,0.818,1444.0,1214.0,3.299,2.7536,2.4072,11.6,361.15,5131.0,4.48,True,nexsci
HAT-P-53 b,0.163,0.085,0.031,1.32,1.484,2114.0,1777.0,3.326,1.9616,2.7936,12.1,666.8,5956.0,4.31,True,nexsci
HAT-P-54 b,,,,0.94,0.76,977.0,821.0,3.325,3.7998,,10.3,143.65,4390.0,4.67,True,nexsci
HAT-P-55 b,0.05,0.07,0.078,1.18,0.582,1560.0,1312.0,3.014,3.5852,2.9352,11.6,511.39,5808.0,4.43,True,nexsci
HAT-P-56 b,0.383,0.187,0.055,1.51,2.31,2220.0,1866.0,3.4,2.7908,2.2711,9.8,320.64,6566.0,3.39,True,nexsci
HAT-P-57 b,0.777,0.29,0.144,1.74,1.41,2450.0,2060.0,3.062,2.4653,3.4987,9.4,279.86,6330.0,4.25,True,nexsci
HAT-P-5 b,0.152,0.131,0.079,1.21,0.98,1792.0,1507.0,3.22,2.7885,2.9208,10.5,303.34,5960.0,4.37,True,nexsci
HAT-P-65 b,0.347,0.143,0.195,1.89,0.527,2296.0,1931.0,2.563,2.6055,4.3656,11.5,738.52,5835.0,3.98,True,nexsci
HAT-P-66 b,0.206,0.09,0.073,1.59,0.783,2259.0,1900.0,2.885,2.9721,4.6992,11.7,935.46,6002.0,3.99,True,nexsci
HAT-P-67 b,0.799,0.35,0.919,2.08,0.34,2300.0,1934.0,2.287,4.8101,6.9888,8.9,371.69,6406.0,3.85,True,nexsci
HAT-P-6 b,0.368,0.209,0.112,1.48,1.32,2095.0,1762.0,3.174,3.853,3.5064,9.3,275.36,6570.0,4.22,True,nexsci
HAT-P-7 b,0.788,0.24,0.075,1.51,1.84,2702.0,2272.0,3.301,2.2047,3.8822,9.3,341.08,6389.0,4.07,True,nexsci
HATS-13 b,0.044,0.073,0.089,1.21,0.543,1483.0,1247.0,2.962,3.044,2.6347,12.0,421.86,5523.0,4.52,True,nexsci
HATS-14 b,0.035,0.052,0.026,1.04,1.071,1514.0,1273.0,3.391,2.7668,2.6422,12.0,513.01,5346.0,4.48,True,nexsci
HAT-P-8 b,0.489,0.265,0.128,1.4,1.28,2101.0,1767.0,3.209,3.0763,3.8088,9.0,211.55,6200.0,4.15,True,nexsci
HAT-P-9 b,0.118,0.098,0.094,1.39,0.749,1833.0,1542.0,2.981,3.9228,3.36,11.0,455.2,6350.0,4.29,True,nexsci
HATS-10 b,0.044,0.048,0.046,0.97,0.526,1669.0,1403.0,3.143,3.3128,3.0072,11.5,534.89,5880.0,4.39,True,nexsci
HATS-11 b,0.133,0.078,0.073,1.61,0.83,2074.0,1744.0,2.9,3.6192,4.3685,12.2,944.6,6563.0,4.19,True,nexsci
HATS-12 b,0.042,0.032,0.005,0.69,2.39,1878.0,1579.0,4.092,3.1427,4.5238,11.4,746.14,6357.0,4.36,True,nexsci
HATS-15 b,0.071,0.057,0.012,1.1,2.17,1774.0,1492.0,3.644,1.7475,2.2697,12.7,1139.55,5311.0,4.45,True,nexsci
HATS-16 b,0.086,0.06,0.01,1.3,3.27,1894.0,1592.0,3.681,2.6865,2.6208,12.3,757.04,5738.0,4.24,True,nexsci
HATS-17 b,0.001,0.015,0.01,0.78,1.338,968.0,814.0,3.74,16.2546,4.8264,10.7,400.33,5846.0,4.42,True,nexsci
HATS-2 b,0.204,0.135,0.046,1.17,1.345,1875.0,1577.0,3.388,1.3541,2.0688,11.4,341.93,5227.0,4.48,True,nexsci
HATS-18 b,0.387,0.131,0.03,1.33,1.9795,2459.0,2068.0,3.444,0.8378,1.944,12.3,624.37,5600.0,4.44,True,nexsci
